"year","Season","mean.yr","var.mean.yr","sd.mean.yr","CV","mean.yr.absolute","sd.mean.yr.absolute","CV.absolute"
"10","FALL",23.425,257.979472505963,16.0617393985198,0.685666569840759,234250,160617.393985198,0.685666569840759
"10","SPRING",14.65,41.4253063700278,6.43624940241037,0.43933443019866,146500,64362.4940241037,0.43933443019866
"11","FALL",36.3,655.022832448613,25.5934138490474,0.705052723114254,363000,255934.138490474,0.705052723114254
"11","SPRING",16.3,25.0841440786805,5.00840733953225,0.307264253959034,163000,50084.0733953225,0.307264253959034
"12","FALL",91.725,2668.85225687641,51.6609355013671,0.563215432012724,917250,516609.355013671,0.563215432012724
"12","SPRING",29,180.473187592248,13.4340309509934,0.463242446585979,290000,134340.309509934,0.463242446585979
"13","FALL",32.425,317.960531085562,17.8314478123781,0.549928999610734,324250,178314.478123781,0.549928999610734
"13","SPRING",22.125,42.6972607721057,6.53431410112077,0.295336230559131,221250,65343.1410112077,0.295336230559131
"14","FALL",30.6,664.368350581843,25.7753438499245,0.842331498363547,306000,257753.438499245,0.842331498363547
"14","SPRING",10.15,15.3847486531077,3.92233969119297,0.386437407999307,101500,39223.3969119297,0.386437407999307
"15","FALL",6.65,15.7917797804262,3.97388723801093,0.597577028272321,66500,39738.8723801094,0.597577028272321
"15","SPRING",70.65,1827.94189149536,42.754437097164,0.605158345324332,706500,427544.37097164,0.605158345324332
"16","FALL",59.55,1188.99285688782,34.4817757212098,0.579039054932155,595500,344817.757212098,0.579039054932155
"16","SPRING",16.325,32.4276366080607,5.69452689940619,0.348822474695632,163250,56945.2689940619,0.348822474695632
"17","FALL",65.45,2094.87143220948,45.7697654812594,0.699308869079593,654500,457697.654812594,0.699308869079593
"17","SPRING",36.8,368.097829130659,19.1858757717926,0.521355319885669,368000,191858.757717926,0.521355319885669
"18","FALL",50.15,861.802243023746,29.3564685039558,0.585373250328131,501500,293564.685039558,0.585373250328131
"18","SPRING",21.3,67.1464706365341,8.19429500546167,0.384708685702426,213000,81942.9500546167,0.384708685702426
"19","FALL",26.125,113.190988316545,10.6391253548656,0.407239248033134,261250,106391.253548656,0.407239248033134
"19","SPRING",47.85,631.554470123859,25.1307475042797,0.525198484937924,478500,251307.475042797,0.525198484937924
"20","FALL",14.425,41.5483324111539,6.44579959439897,0.446849191986064,144250,64457.9959439897,0.446849191986064
"20","SPRING",16.575,41.6483463158262,6.45355299938152,0.389354630430258,165750,64535.5299938152,0.389354630430257
"21","FALL",22.975,341.887234399139,18.4901929248761,0.80479621000549,229750,184901.929248761,0.80479621000549
"21","SPRING",17.325,52.0867418715792,7.21711451146365,0.416572266173948,173250,72171.1451146365,0.416572266173948
"22","FALL",43.375,350.558260545625,18.7232011297648,0.43165881567181,433750,187232.011297648,0.43165881567181
"22","SPRING",15.5,62.6570984522735,7.91562369319522,0.510685399560982,155000,79156.2369319522,0.510685399560982
"3","FALL",28.35,124.372948007459,11.1522620130384,0.393377848784422,283500,111522.620130384,0.393377848784422
"3","SPRING",18.15,41.7983714400675,6.46516600251436,0.35620749325148,181500,64651.6600251436,0.35620749325148
"4","FALL",37.125,352.983059158432,18.7878433876385,0.506069855559287,371250,187878.433876385,0.506069855559287
"4","SPRING",11.325,38.8157673640047,6.23023012127198,0.550130695035054,113250,62302.3012127198,0.550130695035054
"5","FALL",32.775,384.866501068365,19.6180147076193,0.598566428912868,327750,196180.147076193,0.598566428912868
"5","SPRING",18.85,73.3710099200412,8.5656879420185,0.454413153422732,188500,85656.879420185,0.454413153422732
"6","FALL",32.2,165.191592059624,12.8526881258212,0.399151805149726,322000,128526.881258212,0.399151805149726
"6","SPRING",42.175,486.49600234323,22.0566543778341,0.522979356913673,421750,220566.543778341,0.522979356913673
"7","FALL",42.525,394.375146239857,19.8588807902121,0.46699308148647,425250,198588.807902121,0.46699308148647
"7","SPRING",32.675,205.563147324091,14.3374735335097,0.438790314721031,326750,143374.735335097,0.438790314721031
"8","FALL",17.575,162.368751358,12.7423997487914,0.725029857683723,175750,127423.997487914,0.725029857683723
"8","SPRING",61.8,1583.3880897108,39.7918093294437,0.643880409861548,618000,397918.093294437,0.643880409861548
"9","FALL",17.4,64.9870080693201,8.06145198269642,0.463301838086001,174000,80614.5198269642,0.463301838086001
"9","SPRING",29.475,223.637378244194,14.954510297706,0.507362520702492,294750,149545.10297706,0.507362520702492
